Date,Incident Narrative,Ground Truth
2/14/24,"The disruption of internet and telecommunication network since February 2 is reported to worsen the impact of the conflict on the populations who depend on online money transferts and on humanitarian organizations. The RSF has rejected accusations making them responsible for the outage and blames the Army. Because of this outage, UNHCR and other humanitarian organizations are unable to communicate with community network and register refugees and asylum seekers.",Damage or destruction of civilian critical infrastructure
2/16/24,"On 16 February 2024, clashes renewed between the Sudanese Armed Forces and Rapid Support Forces in Al Fasher Town‚Ä¶ reportedly, SAF conducted airstrikes targeting RSF positions across northern and eastern neighborhoods of Al Fasher Town. Field teams reported that the event led to widespread displacement. Affected households sought refuge in southern neighborhoods within Al Fasher Town.","Movement of military,  paramilitary,  or other troops and equipment,  Military operations (battle,  shelling)"
2/16/24,"The Sudanese Group for Victims of Enforced Disappearance revealed an increase in cases of enforced disappearance in a number of regions of Sudan after the increase in the pace of clashes and their expansion to Al-Jazira State in central Sudan.The group confirmed that new cases of enforced disappearance were recorded in Wad Madani, Al-Hasahisa and Al-Kamilin in Gezira State, as well as Al-Rahad in North Kordofan State and Jabal Al-Awliya, south of Khartoum State.A member of the Sudanese group for victims of enforced disappearance, Othman Al-Basri, told Sudan Tribune on Friday that the number of missing people as a result of the war has risen to 993 missing persons, including 96 women and 897 men.The group had reported in previous reports that 715 cases of enforced disappearance were recorded last October and 842 cases last December. The group had reported in previous reports that 715 cases of enforced disappearance were recorded last",Forced disappearance
2/17/24,"Residents of Omdurman, Khartoum and other cities reported the RSF has forced them out of their homes, looted belongings, and raped women. In August 2023, it was reported to the UN allegations that "" men identified as members of the RSF are using rape and sexual violence‚Äù against women and girls ‚Äúas tools to punish and terrorise communities. Some of the reported rapes appear to be ethnically and racially motivated"".","Gender-based or other conflict-related sexual violence,  Damage or destruction,  looting,  or theft of cultural heritage,  Persecution based on political,  racial,  ethnic,  gender,  or sexual orientation"
2/18/24,"The International Monetary Fund (IMF) issued a stark warning today, predicting a catastrophic 18.3% contraction of Sudan‚Äôs economy in 2024. (...) This alarming prediction follows a 12% economic decline in 2023, attributed by the World Bank to the war‚Äôs disruption of production and decimation of human capital and state infrastructure. (...) Sudan‚Äôs GDP stood at $34.3 billion in 2021, with industry contributing 21% and agriculture 32.7%, with the services sector making up the remaining share. However, since the October 2021 military coup, civil unrest, and the ongoing war, economic activity has plummeted.", Damage or destruction of civilian critical infrastructure
2/18/24,"The RSF accused the SAF of beheading three of its militants, an incident that the SAF has promised to investigate.", Torture or indications of torture
2/19/24,"Local sources in El Daein reported that Sudanese Armed Forces (SAF) military aircraft bombed the city of El Daein
Daein at midnight last night, causing severe damage to a number of neighborhoods in the city.Social media activists tweeted that the bombing hit residential neighborhoods in the city, while others posted a video showing the fires. The voices in the published video indicate that the bombing targeted the neighborhoods of Al-Tadamun, Al-Sikka Al-Hadid and Al-Zariba Al-Tadamun in the city amid an apparent movement of citizens, causing the destruction of a number of houses and facilities and killing a number of citizens, and it is not yet clear whether the air strike caused casualties and losses among the RSF in these areas (See pictures and videos of destruction in the link provided)","Indiscriminate use of weapons,  Military operations (battle,  shelling)"
2/19/24,"After a major offensive, the SAF has recaptured the military district known as Corps of Engineers in Omburdman that was under RSF siege for 10 months. However, the RSF remains in control of large parts of western and southern Omdurman and the western suburb known as Ombada.","Movement of military,  paramilitary,  or other troops and equipment,  Military operations (battle,  shelling)"
2/19/24,"""Close to 25 million people need humanitarian assistance, including around 5 million people on the brink of famine and nearly 7 million children who are severely undernourished. Mass graves conceal evidence of widespread, systematic, and targeted mass atrocities that could be repeated at any moment as the conflict further expands"", the New Humanitarian reported on February 19.","Willful killing of civilians,  Persecution based on political,  racial,  ethnic,  gender,  or sexual orientation"
2/20/24,"Between February 19 and 20, the Sudanese Air Force has resumed long-range bombing raids into Darfur and Kordofan, hitting areas deemed to be ‚Äúsocial incubators‚Äù of the Rapid Support Forces. The Air Force also bombed Hamrat al-Sheikh in North Kordofan, dropping barrel bombs. According to Emergency Lawyers, the attack was the tenth in eight months. The lawyers stated, ‚ÄúThe area is free of any military activity or any military manifestations, thus this attack constitutes a crime.",Indiscriminate use of weapons
2/20/24,"The Sudanese army has reinforced its garrison in the South Kordofan capital Kadugli, which could portend an escalation of military operations in the area.Military sources from South Kordofan reported to Sudan War Monitor that the army intends to open the Dilling-Kadugli road, which has remained closed since the SPLM-N led by General Abdulaziz Al-Hilu captured territory in the area last year, severing the link between the two South Kordofan cities. RSF loyalists are also active along that road, and around the city of Dilling.","Movement of military,  paramilitary,  or other troops and equipment,  Military operations (battle,  shelling)"
2/20/24,"Concerns are mounting following reports of alleged human rights violations by the Rapid Support Forces (RSF) against civilians in villages across Al-Jazira State, Sudan. These reports come amid an ongoing communication and internet blackout in the region, making independent verification challenging.Sources affiliated with local resistance committees and political figures claim the RSF conducted raids on several villages, resulting in casualties and property damage. Specifically, reports from the village of Al-Uqda Al-Maghariba allege at least seven deaths and nine injuries after RSF members opened fire. Similar reports detail deaths and injuries in the villages of Muayjna and Umm Dawana.", Willful killing of civilians
2/20/24,"General trend of attempts by the SAF and RSF to suppress freedom of opinion and freedom of press. Awa Rahma, a Sudanese journalist, gives this testimony about the suppression of these civil liberties:  ""Not only have journalists been robbed of their dignity and security, we have also been stripped of our work. Independent newspapers, websites, TV broadcasting stations, and radio programmes have been shut down. The only working media is controlled by either the army or the RSF, and both sides circulate lists of reporters they accuse of ‚Äúbetraying‚Äù the country.International conventions guaranteeing the safety of journalists do not apply here. In this war, the free press and freedom of expression are also targets. The goal is to suppress the written word, smash the cameras, and block accountability and principle. (..) As we approach one year since this devastating conflict began, the world knows next-to-nothing about the full extent of the atrocities that are committed daily. Nothing is worse than seeing how truth has been suspended, like a patient sedated indefinitely.""","Violent crackdowns on protesters/opponents/civil rights abuse,  Persecution based on political,  racial,  ethnic,  gender,  or sexual orientation"
2/22/24,"On February 22, the militia fired on dozens of residents who were protesting against the arrest of several young people guarding the houses,"" said a resident of Baranko, about halfway between state capital Wad Madani and Khartoum to the north.Multiple local sources reported 18 wounded in the shooting, a few of whom managed to reach a hospital in Shendi, 250 kilometers to the north, by taking side roads."," Violent crackdowns on protesters/opponents/civil rights abuse,  Willful killing of civilians,  Indiscriminate use of weapons"
2/27/24,"On February 27, according to several sources, the Rapid Support Forces (RSF) allegedly committed large-scale killings in the village of Sharif Mukhtar, located in Sudan‚Äôs central Al-Jazirah State. In a statement issued on Monday, the Wad Madani Resistance Committees reported initial accounts about the killing indicating a significant but undetermined number of deaths and injuries. They also reported displacement of residents towards White Nile State and the city of Al-Manaqil, west of Al-Jazirah State."," Movement of military,  paramilitary,  or other troops and equipment"
3/1/24,"The army bombed with drones several ‚ÄúRapid Support‚Äù sites in the neighborhoods of Abu Adam, Al-Mujahideen, South Al-Hizam, and Soba, south of Khartoum, in addition to sites in Khartoum Bahri and the  East Nile.","Movement of military,  paramilitary,  or other troops and equipment,  Military operations (battle,  shelling),  Indiscriminate use of weapons"
3/1/24,The army bombed with drones several ‚ÄúRapid Support‚Äù sites in the neighborhoods of Bahri and the  East Nile.,"Movement of military,  paramilitary,  or other troops and equipment,  Military operations (battle,  shelling),  Indiscriminate use of weapons"
3/1/24,"""On March 1, armed soldiers in El Fasher, the capital of North Darfur state, shot and killed Balal, media director at the Sudanese government‚Äôs Supreme Council for Media and Culture, inside his home, according to news reports and two local journalists, who spoke with CPJ on the condition of anonymity, citing fear of reprisal. According to sources, Balal was also a member of the local trade union, the Sudanese Journalists Syndicate. CPJ was unable to determine which armed group was responsible for Balal‚Äôs killing.""",Willful killing of civilians
3/3/24,"On Saturday, military sources reported that army forces stationed north of Sennar State could advance north towards Al Jazeera State, seizing control of a sugar factory west of Sennar and its neighbouring villages, previously held by the RSF.Facebook accounts affiliated with army supporters shared video clips of the army entering the sugar factory. Social media platforms also circulated videos of citizens celebrating with the army in Sennar, marking the area‚Äôs ‚Äù liberation ‚Äú.","Movement of military,  paramilitary,  or other troops and equipment,  Military operations (battle,  shelling)"
3/4/24,"The Al-Hasahisa Resistance Committees reported in a statement on Sunday that Sudanese army warplanes bombed RSF positions near the Al-Hasahisa Court, Al Jazeera state, without causing civilian casualties.","Movement of military,  paramilitary,  or other troops and equipment,  Military operations (battle,  shelling),  Indiscriminate use of weapons"
3/4/24,"On March 4, at least two civilians were killed, and four others  injured in an air strike carried out by Sudanese army warplanes on Monday in the city of Al-Muglad, located in West Kordofan State.
According to a statement by the Civil Committees in West Kordofan, the air strike targeted residential neighbourhoods west of Al-Muglad, particularly the Andalus neighbourhood. This resulted in casualties among women and children, in addition to damage to several homes."," Willful killing of civilians,  Indiscriminate use of weapons"
3/5/24,"The Wad Madani Resistance Committees in Al Jazeera State said in a statement that one civilian was killed and six others were injured during the RSF‚Äôs storming of the village of Wadi Shair, located west of the city of Al Hasahisa ‚Äì about 45 kilometres north of Wad Madani. ","Damage or destruction,  looting,  or theft of cultural heritage‚ÄØ,  Movement of military,  paramilitary,  or other troops and equipment,  Military operations (battle,  shelling),  Willful killing of civilians"
3/5/24,"The Wad Madani Resistance Committees reported that the  RSF stormed the village of Wadi Shair on multiple occasions, looting cars, residents‚Äô property, and large sums of money from merchants in the nearby village of Tabet.","Damage or destruction,  looting,  or theft of cultural heritage‚ÄØ"
3/5/24,"The wad madani resistance committees reported that ""The Rapid Support Militia stormed the Medina Arab Hospital, west of the city of Wad Madani, and after the failure of a surgical operation performed on one of their members, the Rapid Support Militia assassinated the attending doctor and two accompanying medical staff, and they also arrested two other medical staff.""// translation of a Tweet: In the State of Al-Gazira- The Militia attacked the village of Wad Balila and looting and stealing and village youth confronted them leaving 2 citizens of that village murdered in the first day. The militia continud it assualt the second day and killed 4 citizens and injured 10 that were transported to Al-Manaqil for treatement.","Willful killing of civilians,  Unlawful detention,  Damage or destruction,  looting,  or theft of cultural heritage,  Indiscriminate use of weapons"
3/5/24,"The Central Observatory for Human Rights in Sudan released a detailed report stating the RSF stormed 53 villages in Al-Jazira State within three weeks, coinciding with the disruption of communication networks. The report alleges these attacks resulted in the deaths of 46 civilians and injuries to about 90 others, in addition to widespread arrests and looting of villagers‚Äô property."," Damage or destruction,  looting,  or theft of cultural heritage,  Willful killing of civilians"
3/6/24,"The Rapid Support militia invaded the village of Al-Talih Al-Khawalda, rural Al-Musalmiyya, for the purpose of looting and stealing. The attack led to the martyrdom of the young man, Babiker Ezzedine, aged 21, due to a gunshot wound to the head, and others were injured. // Alternative translation by Melissa: The State of Al-Gazira: The Village Altaleeh Alkhawalda. The RSF attacked through looting and stealing that led to the death of a youth: Baberk Azzadein who was only 21 years old. He died due to a gun shot wound to the head. Others were also injured."," Willful killing of civilians,  Damage or destruction,  looting,  or theft of cultural heritage?"
3/6/24,"The Rapid Support militia attacked the village of Muayjna Mustafa with a heavily armed force with full military equipment. It invaded the village, leaving another massacre that claimed the lives of 8 martyrs and 30 wounded, some of whom were in very serious condition."," Willful killing of civilians,  Indiscriminate use of weapons"
3/6/24,"The Rapid Support militia tried to enter the village of Al-Kubar for the purpose of plundering and stealing, and the village youth confronted them and prevented them from entering. The village considered the martyr Magdi Al-Fateh a calamity and wounded, including: - Muhammad Sheikh Al-Abbas - Othman Abdel Manaf, Assistant - Mustafa Abdel Basset.// Alternative translation by Melissa: The State of Al-Gazira: The village Alkobar. The RSF tried entering the village through looting and stealing and young men from the village tried stopping them which lead to one killed: Majdi Al Fatih Baliye  and three injured: Muhammad Sheikh Abbas, Othman Abdulmanaf Musaad and Mustafa AbdelBasit."," Willful killing of civilians,  Damage or destruction,  looting,  or theft of cultural heritage?"
3/6/24,"The Rapid Support Militia attacked the village of Al-Zubairat, looting more than 30 cars, stealing food from groceries, and destroying what was left of it, in addition to stealing gold and money from a number of homes. This attack was accompanied by a number of threats and intimidation of citizens, which led to the displacement of women and children.// Correct translation by Melissa: the State of Al-Gazira: The village of Alzabeyrat. The RSF attacked this village and stole 30 cares as well as nutritional products from stores and destroying the rest of the products. They also stole gold and money from several hosueholds through threats and scare tactics against villagers which lead to women and children fleeing. "," Willful killing of civilians,  Damage or destruction,  looting,  or theft of cultural heritage"
3/6/24,"The Rapid Support militia attacked the village of Tanub, killing two martyrs, the first from the village and the second from a neighboring village who was going to the market, and there were serious injuries among the villagers.", Willful killing of civilians
3/6/24,"The Rapid Support militia attacked the village of Al-Kashmar for the purpose of plundering, robbing, and harassing citizens. This attack led to the martyrdom of one of the village‚Äôs young men stationed, the peaceful, unarmed young man, Mutawakkil Abdullah.// Correct translation from Melissa: The State of Al-Gazira: The Village of Kashamir. The RSF attacked this village and looted and stole and frightened citizens which resulted in the death of a youth from the village. He is unmaried and was peaceful: Mutawakil Abdallah"," Willful killing of civilians,  Damage or destruction,  looting,  or theft of cultural heritage?"
3/6/24,"The State of Al-Gazira: The Village of Sareeha, The village of Azraq Refy Almaleeq. The RSF attacked two villages that lead to several citizens  killed but there is no confirmation of how many. They then stole and looted and frightened vilagers and the villages are still under the RSF Seige."," Willful killing of civilians,  Damage or destruction,  looting,  or theft of cultural heritage?"
3/6/24,"The State of Al-Gazira: The Villages of Abukarna, Abara, Muhamad Abdallah, AlHadadeed Jaber and Katra: The Miltia looted cars and agricutlural equipment/tools and there is talk of injured and frightening tactics like holding guns to the heads of children to force their parents to give their gold and money. "," Damage or destruction,  looting,  or theft of cultural heritage,  Violent crackdowns on protesters/opponents/civil rights abuse"
3/6/24,"The State of Al-Gazira: based on sources from Al-Gazira, one citizen killed and 6 injured after a brutal attack from the RSF in the new Imran area north of the State of Al-Gazira, where its citizens were also robbed."," Willful killing of civilians,  Damage or destruction,  looting,  or theft of cultural heritage?"
3/6/24,In the State of Al-Gazira- The Militia attacked the village of Wad Balila and looting and stealing and village youth confronted them leaving 2 citizens of that village murdered in the first day. The militia continud it assualt the second day and killed 4 citizens and injured 10 that were transported to Al-Manaqil for treatement.," Willful killing of civilians,  Damage or destruction,  looting,  or theft of cultural heritage?"
3/6/24,"The State of Al-Gazira: Village of Fatees Refy Tabit. There was an attack at the local souk/market in this village where the RSF looted and stole from people. Through scare tactics and intimidation, the RSF also killed a citizen Omar Sadiq Nour and injured 2 more, one in the arm and one in the leg. This isn' the first attack on this village, previously, the RSF looted here and also used scare tactics by tying men with ropes and threatening them to ensure they do not fight back. This has caused fear across the men in this village- they also forced - by holding a gun against them- men to participate in their activcities by driving the stolen goods for them "," Willful killing of civilians,  Damage or destruction,  looting,  or theft of cultural heritage,  Violent crackdowns on protesters/opponents/civil rights abuse"
3/6/24,"The RSF attacked the village of Wadi Shaier twice. The first time it stole cars and peoples properties, as well as looted from traders in Souk Tabit. The secnd time it attacked it killed Sheikh Muhamad Ibraheem and 6 were injured by bullets. There was also a lot of threats and frightening of villagers."," Damage or destruction,  looting,  or theft of cultural heritage,  Willful killing of civilians"
3/7/24,"At least four people were killed and others  injured at Abu Shouk displaced camp following renewed clashes between the SAF and the RSF in  El Fasher,  North Darfur on Thursday, March 7 in the evening. ""Field sources from Abu Shouk camp reported that a shell fell near the camp market, in addition to the incursion of some RSF members who were firing heavily and randomly inside the camp, in addition to the exchange of artillery shelling between the two sides, on the northern side of the city, which caused the death of at least four people.""","Indiscriminate use of weapons,  Willful killing of civilians,  Military operations (battle,  shelling)"
3/7/24,"The Rapid Support militia storms the village of Shulikha and loots, robs, and beats residents with whips, with cases of displacement from the village."," Damage or destruction,  looting,  or theft of cultural heritage,  Violent crackdowns on protesters/opponents/civil rights abuse"
3/7/24,"The militia invaded the village of Al-Muraibiya for the second time in two weeks. The first was for the purpose of plundering and plundering, and the last was for the purpose of displacing the people of the village. They killed five citizens whom we consider to be martyrs and injured dozens of residents. This criminal and barbaric act led to a mass exodus of the population."," Willful killing of civilians,  Damage or destruction,  looting,  or theft of cultural heritage"
3/8/24,"He watched how the Rapid Support Militia tortured and humiliated only one person. He did not know the location or date of the incident, but we were provided with Rapid Support shipments to the militia.",Torture or indications of torture
3/12/24,"On March 12, the Sudanese Army, which witnesses say have been boosted by recent deployment of drones, took control on of the radio and TV headquarters in Omdurman after destroying RSF vehicles and many RSF fighters.Undetermined number of fatalities","Military operations (battle,  shelling)"
3/12/24,"Emir of the Rizeigat, Masar Abd al-Rahman Aseel, announced on March 12 that the Rizeigat tribe stands with the Rapid Support and supports them with one hundred thousand fighters, and promises to continue the support until it reaches one million fighters.","Movement of military,  paramilitary,  or other troops and equipment"
3/13/24,A video shows the distruction and burning of Asia Hospital - Omdurman,Damage or destruction of civilian critical infrastructure
3/13/24,Al Arabiya broadcasts audio and video from inside the radio and television headquarters in Omdurman after the Sudanese army took control of it following violent battles with the ‚ÄúRapid Support‚Äù,"Damage or destruction,  looting,  or theft of cultural heritage‚ÄØ,  Military operations (battle,  shelling)"
3/14/24,"On March 14, at least 14 people, most of them children, were killed in an airstrike launched by an Antonov of the Sudanese Air Force on El Hadra village school in the Nuba Mountains, South Kordofan. Three other places were also hit. The Sudan People‚Äôs Liberation Movement-North under the leadership of Abdelaziz El Hilu (SPLM-N El Hilu) strongly condemned the attack. The Sudanese Air Force mainly targeted Habila and the villages of El Hadra, El Kargal, and El Geniziya Moro in Dalami, a source living in the area reported to Radio Dabanga. The losses were mainly concentrated in El Hadra, where two teachers, 11 students between 9 and 19 years old, and an unidentified person were killed.","Indiscriminate use of weapons,  Willful killing of civilians,  Damage or destruction of civilian critical infrastructure"
3/14/24,Healthcare facilities severely impacted by the war in Babanusa in West Kordofan.,Damage or destruction of civilian critical infrastructure
3/14/24,"""Abu Qouta Resistance Committees. statement. The Rapid Support militia in Abu Qouta killed citizen Faris Mahmoud Muhammad Awad Al-Karim inside his home After they entered him in the middle of the night and shot him with gunfire. We belong to God and to Him we shall return. May God have mercy on him and forgive him, and may God make his abode Paradise.""", Willful killing of civilians
3/14/24,RSF militiamen raped the nurses at Al Hasahysa Hospital in Gezira State during their service shift .The hospital has stopped operations. Hundreds of thousands of people in the surrounding villages have lost their only access to health care.,"Gender-based or other conflict-related sexual violence¬,  Damage or destruction of civilian critical infrastructure"
3/14/24,"Brigadier General Al-Senussi has expressed deep concern over the actions of the Rapid Support Forces (RSF), led by Mohamed Hamdan Dagalo, in Omdurman. He highlighted the extensive looting and destruction inflicted upon the Omdurman market by the RSF, referring to them as the ""Al-Dagalo terrorist militia."" This sentiment aligns with reports indicating that the RSF has been involved in widespread looting across various regions, including Khartoum and Omdurman, leading to the establishment of so-called ""Dagalo markets"" where stolen goods are sold.","Damage or destruction,  looting,  or theft of cultural heritage‚ÄØ"
3/14/24,"A Sudanese child was shot dead in the Ibtenki camp for Sudanese refugees in eastern Chad, with another refugee sustaining injuries from stray bullets on Monday.¬†", Willful killing of civilians
3/15/24,"The Sudanese army launched airstrikes on March 15 targeting Rapid Support Forces (RSF) positions East of El Fasher, North Darfur in view of disrupting them and preventing RSF fighters to enter the city center.","Military operations (battle,  shelling)"
3/15/24,"Since seizing the state capital, Wad Madani, in December, the RSF has allegedly engaged in looting, violence, and extortion for four consecutive months. On March 15, local Resistance Committees in Hasahisa reported that the RSF killed eight civilians and injured nine others in the village of Umm Jeiris near Tabat. These attacks were allegedly followed by widespread looting of homes, private property, and even agricultural equipment. They also attacked El Halila (aka El Halaween). The attack on Um Jereis   resulted in the death of eight villagers and the injury of nine others.  In El Halila, the RSF fighters met a strong resistance from the vilalgers. Several villagers were injured, and four were, reportedly,in critical condition."," Willful killing of civilians,  Indiscriminate use of weapons,  Damage or destruction,  looting,  or theft of cultural heritage"
3/15/24,"On March 15, in the village of Al-Halila Al-Halaween, RSF elements reportedly attempted to raid the village but were met with resistance from the villagers. The ensuing confrontation resulted in several civilian injuries, including four in critical condition."," Military operations (battle,  shelling)"
3/16/24,"On March 16, the Sudanese army clashed with the Rapid Support Forces (RSF) on two fronts, repelling an attack on the Signal Corps Khartoum Bahri,  intensifying fighting in Babanusa, West Kordofan State where the RSF launched a new attack seeking control of the city‚Äôs 22nd Infantry Division headquarters. Military sources reported heavy losses for the RSF, including destroyed vehicles and numerous casualties in the clash of Khartoum. Number of fatalities is undetermined.","Military operations (battle,  shelling)"
3/16/24,"After overnight battles between the RSF and the Sudanese army, and after gains from the army here in the city of Omdurman, the Sudanese army was able to retake control of the station","Military operations (battle,  shelling)"
3/17/24,"The  Sudanese Emergency Lawyers Initiative (ELI) released a report  on March 17 documenting  widespread human rights abuses in Al Jazirah State since the conflict began in April 2023. The report documents 248 civilian deaths and 347 injuries at the hands of the Rapid Support Forces (RSF) between  April 16, 2023 and March 7, 2024. According to the ELI, the RSF is responsible for violations in 156 locations, while Sudanese Air Force bombings struck 36 areas. The violence includes extrajudicial killings, random shootings in civilian areas, and seizing control of areas with no military presence. The violence triggered a mass displacement of hundreds of thousands who fled to Sennar, White Nile, and northern and eastern states, fearing further violence. The ELI report was based on interviews with ""18 victims and the testimonies of 62 eyewitnesses from villages and neighbourhoods""."," Willful killing of civilians,  Indiscriminate use of weapons,  Damage or destruction of civilian critical infrastructure,  Violent crackdowns on protesters/opponents/civil rights abuse"
3/17/24,"The Sudanese Doctors Syndicate condemned on March 17 the rape of a nurse and two relatives of patients, allegedly by RSF elements, at the Hasaheisa Children Hospital last week.
The nurse first witnessed the rape of the two others and began screaming and calling for help. She was then raped herself.",Gender-based or other conflict-related sexual violence
